Name,Latitude,Longitude
Parassala,8.315015,77.128723
Pambukala,8.325442,77.064161
Kovalam Jn,8.399849,76.980877
Neyyattinkara_2,8.407891,77.079493
Neyyattinkara_1,8.408044,77.079211
Thozhukkal,8.416719,77.080319
Balaramapuram_1,8.426358,77.038985
Balaramapuram_2,8.427159,77.039576
Pallichal Jn,8.443116,77.017322
Thiruvallom,8.443192,76.95248
Kumarichantha,8.451636,76.947008
Vellayani Jn,8.459034,76.997399
Vellayani Jn_2,8.459099,76.997492
Manacaud Jn,8.471944,76.948129
Eenjakkal_1,8.480571,76.935144
Eenjakkal_2,8.480782,76.935914
"Killipalam, near PRS hopspital",8.481339,76.959588
Killipalam,8.481502,76.958212
Power house road,8.484994,76.952989
East fort stretch,8.485964,76.947815
Thambanoor,8.487014,76.952138
Malayinkeezh,8.487506,77.036478
Kaithamukk,8.489563,76.940195
MG Road,8.490216,76.9473
Poojapura,8.491038,76.973892
All saints,8.494619,76.909807
All saints_2,8.494955,76.909431
Pettah,8.495205,76.927578
Vettukadu,8.496531,76.898736
Holy Angels Convent road,8.498015,76.942862
AKG center,8.500406,76.94619
Mangattukadav,8.50043,77.006246
"Vazhuthacaud, WC jn",8.500455,76.958291
"Palayam, near AKG center",8.500658,76.946283
Chakka bypass,8.502149,76.912763
Palayam,8.502111,76.950088
Kattakada_3,8.502327,77.071847
Edapazhanji Bridge,8.504579,76.970544
Kattakada_1,8.506018,77.079171
Kattakada_2,8.507411,77.086978
Kundamankadavu_2,8.508835,77.003379
Kundamankadavu_1,8.509155,77.004812
Veli,8.512363,76.890858
"KIMS Hopspital Jn, Venpalavattam",8.513192,76.910545
Venpalavattom near KIMS,8.51406,76.913645
"Venpalavattam, Poonthi road",8.514176,76.913673
Vilappilsala,8.521866,77.034677
Pattom,8.523048,76.94072
"Kottamukk,Aakkulam",8.523087,76.912266
"Pulimood Jn, Vattiyoorkav",8.523504,76.986278
Pattom(PVDS),8.526084,76.938934
Kallikkaad,8.529432,77.123205
Ulloor,8.529678,76.932632
Ambalamukk,8.529742,76.960949
Poovachal,8.534775,77.086764
Puliyarakonam,8.535401,77.016186
Bypass near UST Global,8.537797,76.879188
"Vazhayila, To Peroorkada",8.542643,76.971121
Nettayam,8.543787,76.987643
"Vazhayila, To Nedumangadu",8.545085,76.972706
Kottamughal_1,8.552103,76.942356
Kottamughal_2,8.552207,76.94261
"Mannanthala, Pothencode road",8.560715,76.943449
"Mannanthala, Peroorkada road",8.560721,76.943426
Paravankunnu Jn.,8.567804,76.873396
"Vettroad, towards Pothencode",8.582407,76.863898
"Vettroad, Pothencode road",8.584439,76.870474
Vattappara_1,8.59289,76.952505
